,Regressor,Param,Score,MAE
10,DecisionTreeRegressor,friedman_mse-best-50,1.0,0.0
17,DecisionTreeRegressor,poisson-random-100,1.0,0.0
23,DecisionTreeRegressor,poisson-best-100,1.0,0.0
11,DecisionTreeRegressor,friedman_mse-best-100,1.0,0.0
22,DecisionTreeRegressor,poisson-best-50,1.0,0.0
16,DecisionTreeRegressor,poisson-random-50,1.0,0.0
5,DecisionTreeRegressor,friedman_mse-random-100,1.0,0.0
4,DecisionTreeRegressor,friedman_mse-random-50,1.0,0.0
9,DecisionTreeRegressor,friedman_mse-best-10,0.9999120987126316,0.22972972972972974
3,DecisionTreeRegressor,friedman_mse-random-10,0.9954679946786308,1.6324324324324324
8,DecisionTreeRegressor,friedman_mse-best-5,0.8633873510732867,18.078603603603604
2,DecisionTreeRegressor,friedman_mse-random-5,0.7950657382081655,25.31850311850312
15,DecisionTreeRegressor,poisson-random-10,0.7757197421004588,22.354550525757958
7,DecisionTreeRegressor,friedman_mse-best-3,0.7175741595237908,31.56949427433299
6,DecisionTreeRegressor,friedman_mse-best-2,0.5989956361509798,37.10346143038333
24,LinearRegression,,0.5660118232238056,40.29895709107532
54,SGDRegressor,squared_error-l1-0.001-10000000-invscaling-0.25,0.5389129227706966,41.42459268041582
48,SGDRegressor,squared_error-l1-0.0001-10000000-invscaling-0.25,0.5388175224417908,41.433012151059565
60,SGDRegressor,squared_error-l1-0.01-10000000-invscaling-0.25,0.5364055804340844,41.59882871140274
30,SGDRegressor,squared_error-l2-0.0001-10000000-invscaling-0.25,0.5360721117830087,41.60784014769407
66,SGDRegressor,squared_error-elasticnet-0.0001-10000000-invscaling-0.25,0.5346516610871115,41.70041979992497
21,DecisionTreeRegressor,poisson-best-10,0.5159586265089721,39.53198198198198
72,SGDRegressor,squared_error-elasticnet-0.001-10000000-invscaling-0.25,0.5092590464921323,42.91860289114576
36,SGDRegressor,squared_error-l2-0.001-10000000-invscaling-0.25,0.5020475676555989,43.247641418904536
69,SGDRegressor,squared_error-elasticnet-0.0001-10000000-constant-0.75,0.4943171948993851,43.54003872611463
63,SGDRegressor,squared_error-l1-0.01-10000000-constant-0.75,0.4791347896906786,44.134550836122855
25,Ridge,0.2,0.4778781883937737,44.39760862942351
1,DecisionTreeRegressor,friedman_mse-random-3,0.4735725005076433,42.25540234111663
32,SGDRegressor,squared_error-l2-0.0001-10000000-constant-0.25,0.45799138520408966,45.04758009924275
33,SGDRegressor,squared_error-l2-0.0001-10000000-constant-0.75,0.45758197549284396,44.99215441007993
51,SGDRegressor,squared_error-l1-0.0001-10000000-constant-0.75,0.4559633693872417,45.23155228713163
57,SGDRegressor,squared_error-l1-0.001-10000000-constant-0.75,0.45208719967048305,45.55026911811252
74,SGDRegressor,squared_error-elasticnet-0.001-10000000-constant-0.25,0.44868910319194333,45.588133121072595
14,DecisionTreeRegressor,poisson-random-5,0.44712614765725656,44.28178178178178
50,SGDRegressor,squared_error-l1-0.0001-10000000-constant-0.25,0.4461374726737972,45.456845913697755
197,ElasticNet,0.7-1-10000,0.4458079467187971,46.31839145569296
196,ElasticNet,0.7-1-1000,0.4458079467187971,46.31839145569296
26,Ridge,0.3,0.44213217643950387,46.10628654046438
56,SGDRegressor,squared_error-l1-0.001-10000000-constant-0.25,0.4421182769461032,45.77288051788559
